"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"New Hampshire"	"33"	"2011"	"2011"	12851	247411	51.94
	"New Hampshire"	"33"	"2012"	"2012"	12352	245727	50.27
"Total"	"New Hampshire"	"33"			79305	1514819	52.35
	"New Jersey"	"34"	"2007"	"2007"	116063	1762512	65.85
	"New Jersey"	"34"	"2008"	"2008"	112710	1752652	64.31
	"New Jersey"	"34"	"2009"	"2009"	110331	1743799	63.27
	"New Jersey"	"34"	"2010"	"2010"	106922	1738419	61.51
	"New Jersey"	"34"	"2011"	"2011"	105883	1726489	61.33
	"New Jersey"	"34"	"2012"	"2012"	104230	1726967	60.35
"Total"	"New Jersey"	"34"			656139	10450838	62.78
	"New Mexico"	"35"	"2007"	"2007"	30616	397586	77.00
	"New Mexico"	"35"	"2008"	"2008"	30173	396611	76.08
	"New Mexico"	"35"	"2009"	"2009"	29000	397211	73.01
	"New Mexico"	"35"	"2010"	"2010"	27850	398587	69.87
	"New Mexico"	"35"	"2011"	"2011"	27289	399996	68.22
	"New Mexico"	"35"	"2012"	"2012"	27068	399200	67.81
"Total"	"New Mexico"	"35"			171996	2389191	71.99
	"New York"	"36"	"2007"	"2007"	253451	4069080	62.29
	"New York"	"36"	"2008"	"2008"	250383	4062354	61.63
	"New York"	"36"	"2009"	"2009"	248110	4053936	61.20
	"New York"	"36"	"2010"	"2010"	244375	4047947	60.37
	"New York"	"36"	"2011"	"2011"	241312	4032314	59.84
	"New York"	"36"	"2012"	"2012"	240916	4037720	59.67
"Total"	"New York"	"36"			1478547	24303351	60.84
	"North Carolina"	"37"	"2007"	"2007"	131037	1910018	68.61
	"North Carolina"	"37"	"2008"	"2008"	130839	1933646	67.66
	"North Carolina"	"37"	"2009"	"2009"	126845	1947046	65.15
	"North Carolina"	"37"	"2010"	"2010"	122350	1949350	62.76
	"North Carolina"	"37"	"2011"	"2011"	120389	1958279	61.48
	"North Carolina"	"37"	"2012"	"2012"	119831	1963293	61.04
"Total"	"North Carolina"	"37"			751291	11661632	64.42
	"North Dakota"	"38"	"2007"	"2007"	8840	128169	68.97
	"North Dakota"	"38"	"2008"	"2008"	8938	127636	70.03
	"North Dakota"	"38"	"2009"	"2009"	9001	128429	70.09
	"North Dakota"	"38"	"2010"	"2010"	9104	129143	70.50
	"North Dakota"	"38"	"2011"	"2011"	9527	131653	72.36
	"North Dakota"	"38"	"2012"	"2012"	10106	135420	74.63
"Total"	"North Dakota"	"38"			55516	780450	71.13
	"Ohio"	"39"	"2007"	"2007"	150879	2293803	65.78
	"Ohio"	"39"	"2008"	"2008"	148821	2273237	65.47
	"Ohio"	"39"	"2009"	"2009"	144841	2251790	64.32
	"Ohio"	"39"	"2010"	"2010"	139128	2235171	62.24
	"Ohio"	"39"	"2011"	"2011"	137918	2220842	62.10
	"Ohio"	"39"	"2012"	"2012"	138483	2212336	62.60
"Total"	"Ohio"	"39"			860070	13487179	63.77
	"Oklahoma"	"40"	"2007"	"2007"	55065	727495	75.69
	"Oklahoma"	"40"	"2008"	"2008"	54781	728647	75.18
	"Oklahoma"	"40"	"2009"	"2009"	54553	732789	74.45
	"Oklahoma"	"40"	"2010"	"2010"	53238	736629	72.27
	"Oklahoma"	"40"	"2011"	"2011"	52272	742805	70.37
	"Oklahoma"	"40"	"2012"	"2012"	52751	747994	70.52
"Total"	"Oklahoma"	"40"			322660	4416359	73.06
	"Oregon"	"41"	"2007"	"2007"	49378	743945	66.37
	"Oregon"	"41"	"2008"	"2008"	49096	749228	65.53
	"Oregon"	"41"	"2009"	"2009"	47132	752900	62.60
	"Oregon"	"41"	"2010"	"2010"	45540	754077	60.39
	"Oregon"	"41"	"2011"	"2011"	45155	759672	59.44
	"Oregon"	"41"	"2012"	"2012"	45067	763832	59.00
"Total"	"Oregon"	"41"			281368	4523654	62.20
	"Pennsylvania"	"42"	"2007"	"2007"	150713	2469273	61.04
	"Pennsylvania"	"42"	"2008"	"2008"	149273	2460254	60.67
	"Pennsylvania"	"42"	"2009"	"2009"	146434	2451611	59.73
	"Pennsylvania"	"42"	"2010"	"2010"	143321	2442538	58.68
	"Pennsylvania"	"42"	"2011"	"2011"	143178	2433256	58.84
	"Pennsylvania"	"42"	"2012"	"2012"	142514	2425630	58.75
"Total"	"Pennsylvania"	"42"			875433	14682562	59.62
	"Rhode Island"	"44"	"2007"	"2007"	12376	221482	55.88
	"Rhode Island"	"44"	"2008"	"2008"	12048	218637	55.11
	"Rhode Island"	"44"	"2009"	"2009"	11442	216670	52.81
	"Rhode Island"	"44"	"2010"	"2010"	11177	214647	52.07
	"Rhode Island"	"44"	"2011"	"2011"	10960	212646	51.54
	"Rhode Island"	"44"	"2012"	"2012"	10926	211180	51.74
"Total"	"Rhode Island"	"44"			68929	1295262	53.22
	"South Carolina"	"45"	"2007"	"2007"	62875	915628	68.67
	"South Carolina"	"45"	"2008"	"2008"	63071	925213	68.17
	"South Carolina"	"45"	"2009"	"2009"	60620	928485	65.29
	"South Carolina"	"45"	"2010"	"2010"	58342	928310	62.85
	"South Carolina"	"45"	"2011"	"2011"	57393	928427	61.82
	"South Carolina"	"45"	"2012"	"2012"	57155	931369	61.37
"Total"	"South Carolina"	"45"			359456	5557432	64.68
	"South Dakota"	"46"	"2007"	"2007"	12261	152360	80.47
	"South Dakota"	"46"	"2008"	"2008"	12071	151876	79.48
	"South Dakota"	"46"	"2009"	"2009"	11934	151855	78.59
	"South Dakota"	"46"	"2010"	"2010"	11811	152353	77.52
	"South Dakota"	"46"	"2011"	"2011"	11846	153643	77.10
	"South Dakota"	"46"	"2012"	"2012"	12104	155019	78.08
"Total"	"South Dakota"	"46"			72027	917106	78.54
	"Tennessee"	"47"	"2007"	"2007"	86711	1271670	68.19
	"Tennessee"	"47"	"2008"	"2008"	85560	1275355	67.09
	"Tennessee"	"47"	"2009"	"2009"	82211	1274950	64.48
	"Tennessee"	"47"	"2010"	"2010"	79495	1274350	62.38
	"Tennessee"	"47"	"2011"	"2011"	79588	1277212	62.31
	"Tennessee"	"47"	"2012"	"2012"	80371	1283356	62.63
"Total"	"Tennessee"	"47"			493936	7656893	64.51
	"Texas"	"48"	"2007"	"2007"	407625	5145376	79.22
	"Texas"	"48"	"2008"	"2008"	405554	5210018	77.84
	"Texas"	"48"	"2009"	"2009"	401977	5280109	76.13
	"Texas"	"48"	"2010"	"2010"	386118	5326162	72.49
	"Texas"	"48"	"2011"	"2011"	377445	5406935	69.81
	"Texas"	"48"	"2012"	"2012"	382727	5476662	69.88
"Total"	"Texas"	"48"			2361446	31845262	74.15
	"Utah"	"49"	"2007"	"2007"	55130	576269	95.67
	"Utah"	"49"	"2008"	"2008"	55634	586879	94.80
	"Utah"	"49"	"2009"	"2009"	53887	596032	90.41
	"Utah"	"49"	"2010"	"2010"	52258	602120	86.79
	"Utah"	"49"	"2011"	"2011"	51223	612671	83.61
	"Utah"	"49"	"2012"	"2012"	51465	619413	83.09
"Total"	"Utah"	"49"			319597	3593384	88.94
	"Vermont"	"50"	"2007"	"2007"	6513	122445	53.19
	"Vermont"	"50"	"2008"	"2008"	6339	120761	52.49
	"Vermont"	"50"	"2009"	"2009"	6110	119265	51.23
	"Vermont"	"50"	"2010"	"2010"	6223	118297	52.60
	"Vermont"	"50"	"2011"	"2011"	6078	117349	51.79
	"Vermont"	"50"	"2012"	"2012"	6009	116464	51.60
"Total"	"Vermont"	"50"			37272	714581	52.16
	"Virginia"	"51"	"2007"	"2007"	108884	1642959	66.27
	"Virginia"	"51"	"2008"	"2008"	106686	1644350	64.88
	"Virginia"	"51"	"2009"	"2009"	105059	1648890	63.71
	"Virginia"	"51"	"2010"	"2010"	103002	1652698	62.32
	"Virginia"	"51"	"2011"	"2011"	102652	1659020	61.88
	"Virginia"	"51"	"2012"	"2012"	103013	1670773	61.66
"Total"	"Virginia"	"51"			629296	9918690	63.45
	"Washington"	"53"	"2007"	"2007"	88978	1334091	66.70
	"Washington"	"53"	"2008"	"2008"	90321	1342888	67.26
	"Washington"	"53"	"2009"	"2009"	89313	1352302	66.05
	"Washington"	"53"	"2010"	"2010"	86539	1355704	63.83
	"Washington"	"53"	"2011"	"2011"	86976	1366450	63.65
	"Washington"	"53"	"2012"	"2012"	87463	1376835	63.52
"Total"	"Washington"	"53"			529590	8128270	65.15
	"West Virginia"	"54"	"2007"	"2007"	21994	347854	63.23
	"West Virginia"	"54"	"2008"	"2008"	21501	345247	62.28
	"West Virginia"	"54"	"2009"	"2009"	21268	343471	61.92
	"West Virginia"	"54"	"2010"	"2010"	20470	341981	59.86
	"West Virginia"	"54"	"2011"	"2011"	20717	341245	60.71
	"West Virginia"	"54"	"2012"	"2012"	20827	339610	61.33
"Total"	"West Virginia"	"54"			126777	2059408	61.56
	"Wisconsin"	"55"	"2007"	"2007"	72784	1119562	65.01
	"Wisconsin"	"55"	"2008"	"2008"	72261	1111400	65.02
	"Wisconsin"	"55"	"2009"	"2009"	70843	1103934	64.17
	"Wisconsin"	"55"	"2010"	"2010"	68487	1097595	62.40
	"Wisconsin"	"55"	"2011"	"2011"	67810	1093583	62.01
	"Wisconsin"	"55"	"2012"	"2012"	67295	1088434	61.83
"Total"	"Wisconsin"	"55"			419480	6614508	63.42
	"Wyoming"	"56"	"2007"	"2007"	7893	103196	76.49
	"Wyoming"	"56"	"2008"	"2008"	8038	104431	76.97
	"Wyoming"	"56"	"2009"	"2009"	7881	106406	74.07
	"Wyoming"	"56"	"2010"	"2010"	7556	106612	70.87
	"Wyoming"	"56"	"2011"	"2011"	7399	107091	69.09
	"Wyoming"	"56"	"2012"	"2012"	7572	108992	69.47
"Total"	"Wyoming"	"56"			46339	636728	72.78
"Total"					24600409	374661908	65.66
"---"
"Dataset: Natality, 2007-2012"
"Query Parameters:"
"Title:"
"Age of Mother: All"
"Anencephalus: All"
"Birthplace: All"
"Birth Weight: All"
"Chronic Hypertension: All"
"Cleft Lip / Palate: All"
"Delivery Method: All"
"Diabetes: All"
"Down Syndrome: All"
"Eclampsia: All"
"Education: All"
"Gender: All"
"Gestational Age Group2: All"
"Hispanic Origin: All"
"Live Birth Order: All"
"Marital Status: All"
"Medical Attendant: All"
"Month: All"
"Month Prenatal Care Began: All"
"Omphalocele / Gastroschisis: All"
"Plurality or Multiple Birth: All"
"Pregnancy-associated Hypertension: All"
"Race: All"
"Spina Bifida / Meningocele: All"
"States: All"
"Tobacco Use: All"
"Weekday: All"
"Year: All, 2007 to 2012"
"Group By: State, Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: Default intercensal populations for years 2007-2009"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Jun 4, 2014 6:05:45 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2012, on CDC"
"WONDER Online Database, November 2013. Accessed at http://wonder.cdc.gov/natality-current.html on Jun 4, 2014 6:05:45 PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/Natality.html#Assurance of Confidentiality."
"3. Fertility rates are calculated as the number of births divided by the number of females age 15 - 44 years old in the given"
"year(s). When the numerator is sub-set by mother's age, mother's race, location, or year of birth, then the same sub-set for"
"age, race, location and year applies to the denominator population."
"4. The populations displayed and used as the denominator for rates are bridged-race July 1st estimates of the resident"
"population. More information: http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources."
"5. Birth rates and fertility rates are calculated using the following populations. The populations for year 2011 are from the"
"postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on July 18, 2012. The"
"populations for year 2010 are the bridged-race April 1, 2010 Census counts. The populations for years 2007-2009 are from the"
"revised intercensal bridged-race series of July 1st estimates of the resident population, released by NCHS on October 26, 2012."
"More information: http://wonder.cdc.gov/wonder/help/Natality.html#Denominator-Population-Sources."
